"","System","System.element","Type","Depth","Weight","LINES_OF_CODE","DUPLICATION","CODE_BREAKDOWN","CODE_BREAKDOWN.Rating","DEPLOYMENT_BREAKDOWN","DEPLOYMENT_BREAKDOWN.Rating","INTER_COMPONENT_DUPLICATION","INTER_COMPONENT_DUPLICATION.Rating","SHARED_CODE","SHARED_CODE.Rating","SHARED_DEPENDENCIES","SHARED_DEPENDENCIES.Rating","COMMUNICATION_CENTRALIZATION","COMMUNICATION_CENTRALIZATION.Rating","INTERFACE_CENTRALIZATION","INTERFACE_CENTRALIZATION.Rating","DATA_STORE_ENCAPSULATION","DATA_STORE_ENCAPSULATION.Rating","COMPONENT_COHESION","COMPONENT_COHESION.Rating","USAGE_COHESION","USAGE_COHESION.Rating","INCOMING_DEPENDENCIES","INCOMING_DEPENDENCIES.Rating","OUTGOING_DEPENDENCIES","OUTGOING_DEPENDENCIES.Rating","COMMUNICATION_COMPLEXITY","COMMUNICATION_COMPLEXITY.Rating","STATELESSNESS","STATELESSNESS.Rating","ASYNCHRONOUS_COMMUNICATION","ASYNCHRONOUS_COMMUNICATION.Rating","COMMUNICATION_BOTTLENECKS","COMMUNICATION_BOTTLENECKS.Rating","DATA_STORE_SCALABILITY","DATA_STORE_SCALABILITY.Rating","TECHNOLOGY_COHESION","TECHNOLOGY_COHESION.Rating","CBA.Rating","SOA.Rating","CLOUD_NATIVENESS.Rating","ARCHITECTURE_MAINTAINABILITY.Rating","ID","Parent.ID"
"21","opensource-pockethub","opensource-pockethub","SystemLevel","",21612,21612,7.2,2252,2,21612,2.4,3.6,3.5,NA,NA,NA,NA,99.9,2.1,NA,NA,0,5.5,1,4.4,NA,NA,0,2.6,3,2,0,5.5,0,5.5,NA,NA,NA,NA,0,NA,NA,NA,3.4,2.4,5.5,3.7,"4332d986-2f17-4850-9922-4d3893822463","4332d986-2f17-4850-9922-4d3893822463"
"22","opensource-netdata","DB","DataStore","",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"f8ba8c4a-104c-435b-8622-1accab67a705","f8ba8c4a-104c-435b-8622-1accab67a705"
"23","opensource-pockethub","DB","DataStore","",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"915e5902-63ec-481e-a3d0-c863972ffa9b","915e5902-63ec-481e-a3d0-c863972ffa9b"
"24","opensource-obs-studio","opensource-obs-studio","SystemLevel","",190349,190349,8.3,190349,0.5,14626,2.9,0,5.5,NA,NA,NA,NA,98,5.4,99.8,5.4,NA,NA,NA,NA,NA,NA,27,4,27,2.3,1,0.5,0,5.5,NA,NA,NA,NA,NA,NA,NA,NA,3.4,2.9,5.5,3.9,"33959549-bfd8-4041-be74-6402e62c7dac","33959549-bfd8-4041-be74-6402e62c7dac"
"25","opensource-canal","opensource-canal","SystemLevel","",35349,35349,18.7,668,2.7,34143,2.3,12.4,4.1,NA,NA,NA,NA,59.8,1.9,NA,NA,NA,NA,0.4,2.3,NA,NA,418,3,418,2.9,0.2,2.1,0,5.5,NA,NA,NA,NA,NA,NA,NA,NA,2.7,2.3,5.5,3.5,"117667e8-5abf-441e-b521-e2affc410e32","117667e8-5abf-441e-b521-e2affc410e32"
"26","opensource-cloudfoundry-java-client","opensource-cloudfoundry-java-client","SystemLevel","",22055,22055,10.4,472,5.2,NA,NA,7.1,5.3,NA,NA,NA,NA,23.9,3,NA,NA,NA,NA,0.6,3.5,NA,NA,998,5.1,998,5.1,0.1,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA,NA,4.5,"7f838c58-f5bc-4c33-8963-89326c6774bd","7f838c58-f5bc-4c33-8963-89326c6774bd"
"27","opensource-druid","opensource-druid","SystemLevel","",154427,154427,14.9,153937,1.5,NA,NA,8,3.6,NA,NA,NA,NA,8.6,1.7,NA,NA,0,5.5,0.3,1.8,NA,NA,4372,1.9,4386,1.6,0.1,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,NA,NA,2.6,"f411f809-e1fe-4332-8a00-25d188b5cede","f411f809-e1fe-4332-8a00-25d188b5cede"
"28","opensource-signal","opensource-signal","SystemLevel","",68127,68127,3.2,68127,1.7,NA,NA,0.4,4.9,NA,NA,NA,NA,14.5,2.3,NA,NA,0,5.5,NA,NA,NA,NA,2340,1.7,2394,1.6,0.1,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,NA,NA,2.9,"46696b98-efce-440c-99f8-ebffd4759149","46696b98-efce-440c-99f8-ebffd4759149"
"29","opensource-vscode","opensource-vscode","SystemLevel","",253560,253560,5.3,253560,0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5.5,NA,NA,NA,NA,NA,NA,NA,NA,0,5.5,0,5.5,NA,NA,NA,NA,NA,NA,NA,NA,3.8,NA,5.5,4.6,"c0a9868e-f141-48d5-a751-1448a67c72d4","c0a9868e-f141-48d5-a751-1448a67c72d4"
"30","opensource-angel","opensource-angel","SystemLevel","",55810,55810,11,538,3,NA,NA,6.1,3.5,NA,NA,NA,NA,51.2,1,NA,NA,NA,NA,1,2.2,NA,NA,11,4.5,11,3.1,0,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,NA,NA,3.4,"9ebdce64-6c75-45e9-823b-4ab5369bde0f","9ebdce64-6c75-45e9-823b-4ab5369bde0f"
"31","opensource-echarts","opensource-echarts","SystemLevel","",57431,57431,5.4,57431,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,"258ed431-bb7f-4349-8ef0-6e98bdb7d385","258ed431-bb7f-4349-8ef0-6e98bdb7d385"
