System;System element;Type;Depth;Weight;LINES_OF_CODE;DUPLICATION;CODE_BREAKDOWN;CODE_BREAKDOWN Rating;DEPLOYMENT_BREAKDOWN;DEPLOYMENT_BREAKDOWN Rating;INTER_COMPONENT_DUPLICATION;INTER_COMPONENT_DUPLICATION Rating;SHARED_CODE;SHARED_CODE Rating;SHARED_DEPENDENCIES;SHARED_DEPENDENCIES Rating;COMMUNICATION_CENTRALIZATION;COMMUNICATION_CENTRALIZATION Rating;INTERFACE_CENTRALIZATION;INTERFACE_CENTRALIZATION Rating;DATA_STORE_ENCAPSULATION;DATA_STORE_ENCAPSULATION Rating;COMPONENT_COHESION;COMPONENT_COHESION Rating;USAGE_COHESION;USAGE_COHESION Rating;INCOMING_DEPENDENCIES;INCOMING_DEPENDENCIES Rating;OUTGOING_DEPENDENCIES;OUTGOING_DEPENDENCIES Rating;COMMUNICATION_COMPLEXITY;COMMUNICATION_COMPLEXITY Rating;STATELESSNESS;STATELESSNESS Rating;ASYNCHRONOUS_COMMUNICATION;ASYNCHRONOUS_COMMUNICATION Rating;COMMUNICATION_BOTTLENECKS;COMMUNICATION_BOTTLENECKS Rating;DATA_STORE_SCALABILITY;DATA_STORE_SCALABILITY Rating;TECHNOLOGY_COHESION;TECHNOLOGY_COHESION Rating;CBA Rating;SOA Rating;CLOUD_NATIVENESS Rating;ARCHITECTURE_MAINTAINABILITY Rating;ID;Parent ID
opensource-telegram;org.telegram.messenger.support.util;CodeComponent;2L;1621.0;1621.0;0.7;1621.0;1.8;;;0.4;4.4;;;;;70.8;4.4;;;;;;;;;1.0;4.1;1.0;4.3;;;;;;;;;;;;;;;;;4212c76b-3a41-4eea-9a9d-d184bc99a4ae;797e6f26-2f84-4204-a312-0bbfdb7d0c20 4212c76b-3a41-4eea-9a9d-d184bc99a4ae
opensource-telegram;org.telegram.messenger.support.widget;CodeComponent;2L;14696.0;14696.0;4.9;14696.0;0.9;;;2.4;3.9;;;;;47.6;3.9;;;;;;;;;125.0;1.3;2.0;4.1;;;;;;;;;;;;;;;;;ea42b2ce-ed5b-473d-bcf9-a50f8f935915;797e6f26-2f84-4204-a312-0bbfdb7d0c20 ea42b2ce-ed5b-473d-bcf9-a50f8f935915
opensource-telegram;org.telegram.messenger.support.widget.helper;CodeComponent;2L;1449.0;1449.0;2.3;1449.0;1.9;;;1.4;4.2;;;;;0.0;0.5;;;;;;;;;2.0;3.8;7.0;3.3;;;;;;;;;;;;;;;;;3af432fa-bae3-4e51-82e0-291780e553f7;797e6f26-2f84-4204-a312-0bbfdb7d0c20 3af432fa-bae3-4e51-82e0-291780e553f7
opensource-telegram;org.telegram.messenger.support.widget.util;CodeComponent;2L;25.0;25.0;0.0;25.0;5.5;;;0.0;5.5;;;;;0.0;0.5;;;;;;;;;0.0;5.5;2.0;4.1;;;;;;;;;;;;;;;;;ba593dc9-cf01-4221-8658-241b1123f24e;797e6f26-2f84-4204-a312-0bbfdb7d0c20 ba593dc9-cf01-4221-8658-241b1123f24e
opensource-telegram;org.telegram.messenger.time;CodeComponent;2L;1449.0;1449.0;4.1;1449.0;1.9;;;2.4;3.9;;;;;;;;;;;;;;;2.0;3.8;0.0;5.5;;;;;;;;;;;;;;;;;a4c9be2d-f48a-4777-87a9-9be67386a456;a4c9be2d-f48a-4777-87a9-9be67386a456 797e6f26-2f84-4204-a312-0bbfdb7d0c20
opensource-telegram;org.telegram.messenger.video;CodeComponent;2L;1254.0;1254.0;1.1;1254.0;2.0;;;0.6;4.3;;;;;;;;;;;;;;;4.0;3.3;0.0;5.5;;;;;;;;;;;;;;;;;c2f8a6cb-5f7c-4161-a2e9-3ba66cf582d9;797e6f26-2f84-4204-a312-0bbfdb7d0c20 c2f8a6cb-5f7c-4161-a2e9-3ba66cf582d9
opensource-telegram;org.telegram.messenger.voip;CodeComponent;2L;2004.0;2004.0;10.2;2004.0;1.6;;;9.8;2.8;;;;;2.9;1.8;;;;;;;;;9.0;2.6;26.0;2.2;;;;;;;;;;;;;;;;;592dee40-5c4b-4cb1-a550-93e428c31247;592dee40-5c4b-4cb1-a550-93e428c31247 797e6f26-2f84-4204-a312-0bbfdb7d0c20
opensource-telegram;org.telegram.tgnet;CodeComponent;2L;24241.0;24241.0;27.5;24241.0;0.5;;;20.6;2.3;;;;;93.9;5.2;;;;;;;;;368.0;0.7;13.0;2.7;;;;;;;;;;;;;;;;;e16a6697-dc76-46e2-ace5-9ec77221cac6;797e6f26-2f84-4204-a312-0bbfdb7d0c20 e16a6697-dc76-46e2-ace5-9ec77221cac6
opensource-telegram;org.telegram.ui;CodeComponent;2L;1166.0;1166.0;0.5;1166.0;2.1;;;0.5;4.3;;;;;22.0;3.2;;;;;;;;;0.0;5.5;7.0;3.3;;;;;;;;;;;;;;;;;386d58e8-64e1-4a3b-81e0-28323b202eac;386d58e8-64e1-4a3b-81e0-28323b202eac 797e6f26-2f84-4204-a312-0bbfdb7d0c20
opensource-telegram;org.telegram.ui;CodeComponent;2L;31817.0;31817.0;10.5;31817.0;0.5;;;7.7;3.1;;;;;5.1;2.1;;;6.0;3.2;;;;;0.0;5.5;372.0;0.5;;;;;;;;;;;;;;;;;88213945-72ee-4028-9029-0abf92aba99a;88213945-72ee-4028-9029-0abf92aba99a 797e6f26-2f84-4204-a312-0bbfdb7d0c20
opensource-telegram;org.telegram.ui;CodeComponent;2L;3576.0;3576.0;13.3;3576.0;1.4;;;19.0;2.3;;;;;0.0;0.5;;;6.0;3.2;;;;;0.0;5.5;93.0;1.3;;;;;;;;;;;;;;;;;c7228b07-42b8-4253-a525-5a71ac29539e;797e6f26-2f84-4204-a312-0bbfdb7d0c20 c7228b07-42b8-4253-a525-5a71ac29539e
opensource-telegram;org.telegram.ui;CodeComponent;2L;8821.0;8821.0;9.5;8821.0;1.2;;;7.1;3.2;;;;;0.0;0.5;;;;;;;;;0.0;5.5;37.0;1.9;;;;;;;;;;;;;;;;;40cffb2f-3ae1-46a4-a2cc-8348231dad0d;40cffb2f-3ae1-46a4-a2cc-8348231dad0d 797e6f26-2f84-4204-a312-0bbfdb7d0c20
opensource-telegram;org.telegram.ui;CodeComponent;2L;68485.0;68485.0;24.4;68485.0;0.5;;;16.3;2.4;;;;;0.0;0.5;;;6.0;3.2;;;;;0.0;5.5;898.0;0.5;;;;;;;;;;;;;;;;;768fd3af-a37a-43eb-b1ce-75a4f783d0e4;797e6f26-2f84-4204-a312-0bbfdb7d0c20 768fd3af-a37a-43eb-b1ce-75a4f783d0e4
opensource-telegram;org.telegram.ui;CodeComponent;2L;1661.0;1661.0;0.7;1661.0;1.8;;;0.4;4.4;;;;;4.6;2.0;;;;;;;;;0.0;5.5;7.0;3.3;;;;;;;;;;;;;;;;;e0c3ddeb-e7d0-4e0b-a37f-dc075a9e2b54;e0c3ddeb-e7d0-4e0b-a37f-dc075a9e2b54 797e6f26-2f84-4204-a312-0bbfdb7d0c20
opensource-telegram;org.telegram.ui;CodeComponent;2L;13700.0;13700.0;8.7;13700.0;1.0;;;5.6;3.4;;;;;0.7;1.5;;;;;;;;;0.0;5.5;268.0;0.5;;;;;;;;;;;;;;;;;653f62ba-8f31-4874-a144-584e9dc309cb;653f62ba-8f31-4874-a144-584e9dc309cb 797e6f26-2f84-4204-a312-0bbfdb7d0c20
opensource-telegram;org.telegram.ui;CodeComponent;2L;2104.0;2104.0;7.1;2104.0;1.6;;;5.6;3.4;;;;;33.4;3.6;;;;;;;;;0.0;5.5;12.0;2.8;;;;;;;;;;;;;;;;;600d0f4b-5f0f-4bb7-8d71-066c745d857a;600d0f4b-5f0f-4bb7-8d71-066c745d857a 797e6f26-2f84-4204-a312-0bbfdb7d0c20
opensource-telegram;org.telegram.ui.voip;CodeComponent;2L;433.0;433.0;1.8;433.0;2.4;;;3.5;3.7;;;;;9.5;2.5;;;;;;;;;8.0;2.7;10.0;3.0;;;;;;;;;;;;;;;;;35aa99b8-4350-42f5-88d3-5fdf8bf6d851;797e6f26-2f84-4204-a312-0bbfdb7d0c20 35aa99b8-4350-42f5-88d3-5fdf8bf6d851
opensource-telegram;DB;DataStore;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;af3ff243-9eea-4aca-8193-d45dab4878aa;af3ff243-9eea-4aca-8193-d45dab4878aa
